datetime,price,market_cap,volume,MA_7,MA_30,RSI_14,MACD,MACD_Signal
2026-06-09 19:00:00.683,61757.899290796486,1237540468126.5857,39050024947.6522,61743.17738757118,62862.88810675697,38.4910211544397,-396.030499491746,-251.1319764963429
2026-06-09 20:01:08.617,62024.58648570189,1242474607220.534,40133599167.206474,61669.73744691237,62806.447727405975,43.313083089963484,-370.3255024724349,-274.9706816915613
2026-06-09 21:00:20.122,62075.32494378098,1243915982601.1887,40493185383.265785,61632.951165683226,62743.12020495052,44.209224305543025,-341.91851382167806,-288.36024811758466
2026-06-09 22:00:18.167,61678.19932637624,1235925745759.1145,39986775410.48205,61669.9171743592,62674.66533519373,39.01098939975472,-347.4453552834675,-300.17726955076125
2026-06-09 23:00:34.813,61649.10953241255,1235490910239.9185,40907286157.71864,61747.162623401106,62614.454954461915,38.65246589145721,-350.13656386420917,-310.16912841345084
2026-06-10 00:00:49.563,61658.28493108778,1235619251709.8699,40351944339.76323,61789.330442856364,62553.51253563287,38.84338223722368,-347.5229597084908,-317.6398946724588
2026-06-10 01:00:41.230,61839.77059178349,1238087336495.0105,35590843949.55395,61811.88215741996,62500.6068160898,42.64541783857119,-327.0373999331714,-319.51939572460134
2026-06-10 02:00:46.372,61668.9816840662,1236867351168.691,39224471990.69125,61799.17964217277,62444.10250325697,40.11779756363539,-320.88472437231394,-319.79246145414385
2026-06-10 03:00:48.967,61292.9080724835,1226948821409.8464,34784324996.22589,61694.65415457014,62372.88187304316,35.17401577299474,-342.4076202343931,-324.3154932101937
2026-06-10 04:00:52.150,61496.93202019679,1232105595496.1729,39043827886.198105,61612.02659405812,62297.50732656485,39.527837847724335,-339.09279215792776,-327.27095299974053
2026-06-10 05:01:04.945,61223.551579718725,1226711827029.1885,37630626536.51604,61547.076915964186,62224.807550664984,36.03544989080264,-354.4395256158459,-332.7046675229616
2026-06-10 06:00:27.435,61303.38099989141,1228762126739.4285,37136505367.702896,61497.68712560402,62165.638900834674,37.764617164090566,-356.05596388829144,-337.3749267960276
2026-06-10 07:00:42.647,61425.66499549835,1230867299683.7947,36878782454.3302,61464.455706234105,62129.12436549228,40.421536010092126,-343.50993765574094,-338.60192896797025
2026-06-10 08:00:42.486,61647.38692586603,1235686521672.905,36892830082.419624,61436.97232538875,62091.90334527707,45.00591601938092,-312.07856724300655,-333.2972566229775
2026-06-10 09:01:06.790,61216.832016828615,1226955711550.9114,36332811877.65614,61372.37951578338,62038.30848305544,38.7676318018209,-318.24265932440903,-330.2863371632638
2026-06-10 10:00:14.303,61283.353538509014,1228575091694.159,37083498257.378746,61371.01458235845,61986.441849574716,40.147992504346334,-314.1388190908983,-327.0568335487907
2026-06-10 11:00:46.993,61344.54188670831,1228900898889.6162,32938921258.32129,61349.24456328866,61923.55002665824,41.455337105626626,-302.4625082927232,-322.13796849757716
2026-06-10 12:00:39.627,60996.128040922595,1222318664042.1863,37371223117.53051,61316.75548631779,61846.453959991304,36.55854547825307,-317.6612324503585,-321.2426212881334
2026-06-10 13:00:36.332,61584.534192559164,1234877860941.751,37463324043.63415,61356.92022812747,61791.055647001886,47.777562229430735,-279.0106112757858,-312.7962192856639
2026-06-10 14:01:04.066,62075.453827768506,1244421297002.1484,38211427459.31139,61449.747204166066,61754.76223846238,54.937579395798984,-206.38749716190796,-291.5144748609127
2026-06-10 15:01:05.273,61980.755226660855,1239269899457.4097,36246411690.99696,61497.371247136754,61726.66902457203,53.416165169894924,-154.6913560253015,-264.14985109379046
2026-06-10 16:00:46.222,62623.647434555314,1255598074976.8687,35343028343.61833,61698.34487824057,61724.50675408092,61.25982593224404,-61.140968396481185,-223.5480745543286
2026-06-10 17:00:30.129,62133.14107393966,1243838525869.8623,32588199773.124073,61819.743097587816,61703.52860168431,53.814645706440004,-26.278454509665607,-184.094150545396
2026-06-10 18:00:42.865,61927.62470820218,1240408463177.5457,31228889905.18619,61903.04064351552,61678.411191617204,51.016950470482904,-15.05951748327061,-150.2872239329709
2026-06-10 19:00:30.483,61806.87304374298,1238143751917.4448,29169771681.313698,62018.86135820414,61654.01809073151,49.392189079793994,-15.730744983746263,-123.37592814312598
2026-06-10 20:00:18.371,61941.027330796045,1241250565526.87,29503451635.871143,62069.78894938084,61640.958038011886,51.24977055901921,-5.375601237908995,-99.77586276208258
2026-06-10 21:00:42.199,61719.94638874202,1235873923737.9722,29107022849.897587,62019.002172377055,61650.9750087818,48.115430383384265,-14.837423011282226,-82.78817481192252
2026-06-10 22:00:37.845,61230.51600625681,1226712552865.2268,27937338294.5288,61911.82514089076,61655.04582935306,41.992611774906315,-61.12432331105083,-78.45540451174818
2026-06-10 23:00:12.767,61356.371009591996,1229862229471.1147,27677366535.73575,61730.785651610284,61654.82118984276,43.96718701743335,-86.65269993727998,-80.09486359685454
2026-06-11 00:00:52.585,61464.23949995995,1231644986919.7432,26894274640.9804,61635.22828389889,61647.56555351348,45.674079889889185,-97.0611758408777,-83.48812604565917
2026-06-11 01:00:02.338,61803.34636963933,1238071420708.1516,28096891938.334606,61617.47423553276,61649.08045614158,50.752988420221676,-77.0585941289246,-82.20221966231226
2026-06-11 02:00:29.731,62171.234316802744,1245550735749.571,27114603611.52225,61669.525845969874,61653.96871717828,55.6023738749272,-31.161708465442644,-71.99411742293833
2026-06-11 03:00:08.321,62116.95254207385,1245026188025.9026,27904341530.603283,61694.65801900956,61655.35630378804,54.74576899044412,0.8223391097999411,-57.430826116390676
2026-06-11 04:00:13.284,62662.389097257146,1255806909730.978,29066427682.32216,61829.292691654584,61688.16262948407,61.21210553702701,69.38230284735619,-32.06820032364131
2026-06-11 04:43:47.000,62562.555790189435,1253865588424.0754,29110300394.717663,62019.58408935925,61718.61083807663,59.53527423241937,114.34278210246703,-2.786003838419642
